timestamp,temperatura,umidade,ldr,corrente_1,corrente_2,corrente_3,payload_bytes,latencia_ms
2025-08-01 21:00:01,21.600000381469727,57.400001525878906,2774,3.25,3.490000009536743,3.4700000286102295,44,-6.354
2025-08-01 21:10:01,21.600000381469727,57.5,2421,3.4800000190734863,3.940000057220459,3.799999952316284,44,-107.50800000000001
2025-08-01 21:20:01,21.700000762939453,57.5,2822,3.509999990463257,3.930000066757202,3.8299999237060547,44,-79.516
2025-08-01 21:30:01,21.600000381469727,57.599998474121094,2231,3.5299999713897705,3.859999895095825,3.7899999618530273,43,17.638
2025-08-01 21:40:01,21.600000381469727,57.599998474121094,383,3.5999999046325684,3.9600000381469727,3.8299999237060547,44,43.086
2025-08-01 21:50:01,21.700000762939453,57.599998474121094,0,3.630000114440918,3.9600000381469727,3.7699999809265137,41,-44.407000000000004
2025-08-01 22:00:00,21.5,57.79999923706055,0,3.440000057220459,3.8299999237060547,3.7300000190734863,41,-13.034
2025-08-01 22:10:04,21.5,58.0,0,3.5999999046325684,3.890000104904175,3.7699999809265137,40,-41.899
2025-08-01 22:20:01,21.399999618530273,58.0,0,3.190000057220459,3.5299999713897705,3.4200000762939453,40,-31.081999999999997
2025-08-01 22:30:01,21.299999237060547,58.099998474121094,0,3.4200000762939453,3.7799999713897705,3.6700000762939453,41,-5.3
2025-08-01 22:40:00,21.299999237060547,58.099998474121094,0,3.4600000381469727,3.819999933242798,3.6600000858306885,41,499.74
2025-08-01 22:50:01,21.299999237060547,58.20000076293945,0,3.0199999809265137,3.2799999713897705,3.3299999237060547,41,94.504
2025-08-01 23:00:00,21.299999237060547,58.20000076293945,0,3.4100000858306885,3.6700000762939453,3.7799999713897705,41,419.17199999999997
2025-08-01 23:10:01,21.299999237060547,58.20000076293945,0,3.390000104904175,3.740000009536743,3.630000114440918,41,-2.021
2025-08-01 23:20:01,21.200000762939453,58.29999923706055,0,3.430000066757202,3.740000009536743,3.6700000762939453,41,-0.402
2025-08-01 23:30:00,21.200000762939453,58.400001525878906,0,3.440000057220459,3.7699999809265137,3.6700000762939453,41,-0.889
2025-08-01 23:40:01,21.200000762939453,58.400001525878906,0,3.5,3.759999990463257,3.700000047683716,40,35.283
2025-08-01 23:50:01,21.100000381469727,58.5,0,3.359999895095825,3.700000047683716,3.690000057220459,40,142.724
2025-08-02 00:00:00,21.100000381469727,58.5,0,3.4100000858306885,3.700000047683716,3.799999952316284,41,131.882
2025-08-02 00:10:00,21.100000381469727,58.5,0,3.390000104904175,3.7200000286102295,3.690000057220459,41,150.23
2025-08-02 00:20:01,21.100000381469727,58.5,0,3.5299999713897705,3.7899999618530273,3.690000057220459,40,659.024
2025-08-02 00:30:00,21.0,58.5,0,3.430000066757202,3.7899999618530273,3.619999885559082,41,102.03099999999999
2025-08-02 00:40:01,21.0,58.599998474121094,0,3.4100000858306885,3.7899999618530273,3.5999999046325684,40,12.226
2025-08-02 00:50:01,21.100000381469727,58.5,0,3.4000000953674316,3.7300000190734863,3.630000114440918,41,119.443
2025-08-02 01:00:01,21.0,58.599998474121094,0,3.390000104904175,3.7799999713897705,3.619999885559082,41,53.959
2025-08-02 01:10:00,21.0,58.70000076293945,0,3.4100000858306885,3.759999990463257,3.680000066757202,41,8.761
2025-08-02 01:20:00,21.0,58.599998474121094,0,3.440000057220459,3.7899999618530273,3.609999895095825,41,226.86700000000002
2025-08-02 01:30:01,21.0,58.70000076293945,0,3.359999895095825,3.7699999809265137,3.7899999618530273,41,299.314
2025-08-02 01:40:00,21.0,58.70000076293945,0,3.440000057220459,3.799999952316284,3.690000057220459,41,18.231
2025-08-02 01:50:01,21.0,58.70000076293945,0,3.390000104904175,3.75,3.6700000762939453,40,96.00699999999999
